,date,state,totalcase,dailycase,longitude ,latitude
0,2020-06-01,AK,467.0,33.0,-154.493062,63.588753000000004
1,2020-06-01,AL,18363.0,460.0,-86.902298,32.318231
2,2020-06-01,AR,7443.0,190.0,-91.83183299999999,35.20105
4,2020-06-01,AZ,20123.0,187.0,-111.093731,34.048928000000004
5,2020-06-01,CA,113006.0,2423.0,-119.41793200000001,36.778261
6,2020-06-01,CO,26378.0,280.0,-105.782067,39.550051
7,2020-06-01,CT,42740.0,539.0,-73.087749,41.603221000000005
8,2020-06-01,DC,8857.0,56.0,-77.03341800000001,38.905985
9,2020-06-01,DE,9605.0,107.0,-75.52767,38.910832
10,2020-06-01,FL,56830.0,667.0,-81.515754,27.664827000000002
11,2020-06-01,GA,47618.0,632.0,-82.907123,32.157435
13,2020-06-01,HI,652.0,1.0,-155.66585700000002,19.898682
14,2020-06-01,IA,19697.0,145.0,-93.097702,41.878003
15,2020-06-01,ID,2839.0,0.0,-114.74204099999999,44.068202
16,2020-06-01,IL,121234.0,974.0,-89.398528,40.633125
17,2020-06-01,IN,34830.0,256.0,-85.602364,40.551217
18,2020-06-01,KS,10011.0,292.0,-98.484246,39.011902
19,2020-06-01,KY,10046.0,342.0,-84.27001800000001,37.839333
20,2020-06-01,LA,40341.0,425.0,-92.14502399999999,31.244822999999997
21,2020-06-01,MA,96965.0,0.0,-71.382437,42.407211
22,2020-06-01,MD,53327.0,549.0,-76.641271,39.045755
23,2020-06-01,ME,2349.0,24.0,-69.44546899999999,45.253783
24,2020-06-01,MI,57532.0,135.0,-85.602364,44.314844
25,2020-06-01,MN,25208.0,358.0,-94.6859,46.729553
26,2020-06-01,MO,13327.0,180.0,-91.83183299999999,37.964253
28,2020-06-01,MS,15752.0,251.0,-89.398528,32.354668
29,2020-06-01,MT,519.0,4.0,-110.36256599999999,46.879682
30,2020-06-01,NC,29263.0,674.0,-79.0193,35.759572999999996
31,2020-06-01,ND,2625.0,48.0,-101.002012,47.551493
32,2020-06-01,NE,14101.0,196.0,-99.901813,41.492537
33,2020-06-01,NH,4651.0,106.0,-71.572395,43.193852
34,2020-06-01,NJ,160918.0,473.0,-74.405661,40.058324
35,2020-06-01,NM,7689.0,65.0,-105.03236299999999,34.97273
36,2020-06-01,NV,8688.0,95.0,-116.419389,38.802609999999994
37,2020-06-01,NY,371711.0,941.0,-74.217933,43.299428000000006
38,2020-06-01,OH,35984.0,471.0,-82.907123,40.417287
39,2020-06-01,OK,6573.0,67.0,-97.092877,35.007752
40,2020-06-01,OR,4302.0,59.0,-120.554201,43.804133
41,2020-06-01,PA,72898.0,352.0,-77.194525,41.203322
42,2020-06-01,PR,3873.0,97.0,-66.590149,18.220833
43,2020-06-01,RI,14991.0,63.0,-71.477429,41.580095
44,2020-06-01,SC,12148.0,287.0,-81.163725,33.836081
45,2020-06-01,SD,5034.0,41.0,-99.901813,43.969515
46,2020-06-01,TN,23554.0,548.0,-86.58044699999999,35.517491
47,2020-06-01,TX,64880.0,593.0,-99.901813,31.968598999999998
48,2020-06-01,UT,9999.0,202.0,-111.093731,39.32098
49,2020-06-01,VA,45398.0,791.0,-78.656894,37.431573
51,2020-06-01,VT,983.0,2.0,-72.577841,44.558803000000005
52,2020-06-01,WA,21702.0,353.0,-120.74013899999999,47.751073999999996
53,2020-06-01,WI,18543.0,140.0,-88.787868,43.784440000000004
54,2020-06-01,WV,2017.0,7.0,-80.454903,38.597626
55,2020-06-01,WY,910.0,7.0,-107.29028400000001,43.075967999999996
56,2020-05-31,AK,434.0,0.0,-154.493062,63.588753000000004
57,2020-05-31,AL,17903.0,544.0,-86.902298,32.318231
58,2020-05-31,AR,7253.0,240.0,-91.83183299999999,35.20105
60,2020-05-31,AZ,19936.0,681.0,-111.093731,34.048928000000004
61,2020-05-31,CA,110583.0,3705.0,-119.41793200000001,36.778261
62,2020-05-31,CO,26098.0,485.0,-105.782067,39.550051
63,2020-05-31,CT,42201.0,179.0,-73.087749,41.603221000000005
64,2020-05-31,DC,8801.0,84.0,-77.03341800000001,38.905985
65,2020-05-31,DE,9498.0,76.0,-75.52767,38.910832
66,2020-05-31,FL,56163.0,739.0,-81.515754,27.664827000000002
67,2020-05-31,GA,46986.0,700.0,-82.907123,32.157435
69,2020-05-31,HI,651.0,2.0,-155.66585700000002,19.898682
70,2020-05-31,IA,19552.0,308.0,-93.097702,41.878003
71,2020-05-31,ID,2839.0,36.0,-114.74204099999999,44.068202
72,2020-05-31,IL,120260.0,1343.0,-89.398528,40.633125
73,2020-05-31,IN,34574.0,363.0,-85.602364,40.551217
74,2020-05-31,KS,9719.0,0.0,-98.484246,39.011902
75,2020-05-31,KY,9704.0,240.0,-84.27001800000001,37.839333
76,2020-05-31,LA,39916.0,339.0,-92.14502399999999,31.244822999999997
77,2020-05-31,MA,96965.0,664.0,-71.382437,42.407211
78,2020-05-31,MD,52778.0,763.0,-76.641271,39.045755
79,2020-05-31,ME,2325.0,43.0,-69.44546899999999,45.253783
80,2020-05-31,MI,57397.0,513.0,-85.602364,44.314844
81,2020-05-31,MN,24850.0,660.0,-94.6859,46.729553
82,2020-05-31,MO,13147.0,185.0,-91.83183299999999,37.964253
84,2020-05-31,MS,15501.0,272.0,-89.398528,32.354668
85,2020-05-31,MT,515.0,10.0,-110.36256599999999,46.879682
86,2020-05-31,NC,28589.0,916.0,-79.0193,35.759572999999996
87,2020-05-31,ND,2577.0,23.0,-101.002012,47.551493
88,2020-05-31,NE,13905.0,251.0,-99.901813,41.492537
89,2020-05-31,NH,4545.0,53.0,-71.572395,43.193852
90,2020-05-31,NJ,160445.0,837.0,-74.405661,40.058324
91,2020-05-31,NM,7624.0,131.0,-105.03236299999999,34.97273
92,2020-05-31,NV,8593.0,98.0,-116.419389,38.802609999999994
93,2020-05-31,NY,370770.0,1110.0,-74.217933,43.299428000000006
94,2020-05-31,OH,35513.0,479.0,-82.907123,40.417287
95,2020-05-31,OK,6506.0,88.0,-97.092877,35.007752
96,2020-05-31,OR,4243.0,58.0,-120.554201,43.804133
97,2020-05-31,PA,72546.0,515.0,-77.194525,41.203322
98,2020-05-31,PR,3776.0,58.0,-66.590149,18.220833
99,2020-05-31,RI,14928.0,109.0,-71.477429,41.580095
100,2020-05-31,SC,11861.0,467.0,-81.163725,33.836081
101,2020-05-31,SD,4993.0,33.0,-99.901813,43.969515
102,2020-05-31,TN,23006.0,440.0,-86.58044699999999,35.517491
103,2020-05-31,TX,64287.0,1949.0,-99.901813,31.968598999999998
104,2020-05-31,UT,9797.0,264.0,-111.093731,39.32098
105,2020-05-31,VA,44607.0,996.0,-78.656894,37.431573
107,2020-05-31,VT,981.0,4.0,-72.577841,44.558803000000005
108,2020-05-31,WA,21349.0,278.0,-120.74013899999999,47.751073999999996
109,2020-05-31,WI,18403.0,173.0,-88.787868,43.784440000000004
110,2020-05-31,WV,2010.0,36.0,-80.454903,38.597626
111,2020-05-31,WY,903.0,5.0,-107.29028400000001,43.075967999999996
112,2020-05-30,AK,434.0,4.0,-154.493062,63.588753000000004
113,2020-05-30,AL,17359.0,536.0,-86.902298,32.318231
114,2020-05-30,AR,7013.0,475.0,-91.83183299999999,35.20105
116,2020-05-30,AZ,19255.0,790.0,-111.093731,34.048928000000004
117,2020-05-30,CA,106878.0,2992.0,-119.41793200000001,36.778261
118,2020-05-30,CO,25613.0,492.0,-105.782067,39.550051
119,2020-05-30,CT,42022.0,260.0,-73.087749,41.603221000000005
120,2020-05-30,DC,8717.0,179.0,-77.03341800000001,38.905985
121,2020-05-30,DE,9422.0,186.0,-75.52767,38.910832
122,2020-05-30,FL,55424.0,927.0,-81.515754,27.664827000000002
123,2020-05-30,GA,46286.0,616.0,-82.907123,32.157435
125,2020-05-30,HI,649.0,2.0,-155.66585700000002,19.898682
126,2020-05-30,IA,19244.0,318.0,-93.097702,41.878003
127,2020-05-30,ID,2803.0,34.0,-114.74204099999999,44.068202
128,2020-05-30,IL,118917.0,1462.0,-89.398528,40.633125
129,2020-05-30,IN,34211.0,653.0,-85.602364,40.551217
130,2020-05-30,KS,9719.0,0.0,-98.484246,39.011902
131,2020-05-30,KY,9464.0,280.0,-84.27001800000001,37.839333
132,2020-05-30,LA,39577.0,775.0,-92.14502399999999,31.244822999999997
133,2020-05-30,MA,96301.0,789.0,-71.382437,42.407211
134,2020-05-30,MD,52015.0,1027.0,-76.641271,39.045755
135,2020-05-30,ME,2282.0,56.0,-69.44546899999999,45.253783
136,2020-05-30,MI,56884.0,263.0,-85.602364,44.314844
137,2020-05-30,MN,24190.0,659.0,-94.6859,46.729553
138,2020-05-30,MO,12962.0,167.0,-91.83183299999999,37.964253
140,2020-05-30,MS,15229.0,439.0,-89.398528,32.354668
141,2020-05-30,MT,505.0,12.0,-110.36256599999999,46.879682
142,2020-05-30,NC,27673.0,1185.0,-79.0193,35.759572999999996
143,2020-05-30,ND,2554.0,34.0,-101.002012,47.551493
144,2020-05-30,NE,13654.0,393.0,-99.901813,41.492537
145,2020-05-30,NH,4492.0,106.0,-71.572395,43.193852
146,2020-05-30,NJ,159608.0,764.0,-74.405661,40.058324
147,2020-05-30,NM,7493.0,129.0,-105.03236299999999,34.97273
148,2020-05-30,NV,8495.0,145.0,-116.419389,38.802609999999994
149,2020-05-30,NY,369660.0,1376.0,-74.217933,43.299428000000006
150,2020-05-30,OH,35034.0,468.0,-82.907123,40.417287
151,2020-05-30,OK,6418.0,80.0,-97.092877,35.007752
152,2020-05-30,OR,4185.0,54.0,-120.554201,43.804133
153,2020-05-30,PA,72031.0,692.0,-77.194525,41.203322
154,2020-05-30,PR,3718.0,71.0,-66.590149,18.220833
155,2020-05-30,RI,14819.0,184.0,-71.477429,41.580095
156,2020-05-30,SC,11394.0,263.0,-81.163725,33.836081
